accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-0078AC,,,,,,,,"Water governance in the Philippines
by Agnes C. Rola, PhD

NAST Bulletin 6
Published by the National Academy of Science and Technology, Philippines (NAST PHL). ",,"Water demand and supply projections
Water resources regions
Water allocation
Water rights
Water access 
Integrated Water Resources Management (IWRM)
Water pricing
Private-community partnership",,,,,
E2-0079AC,,,,,,,,"Risk reduction and management in escalating water hazards : how fare the poor?
by Leonardo Q. Liongson, PhD 

NAST Bulletin 5
Published by the National Academy of Science and Technology, Philippines (NAST PHL)",,"Super storm surges
Water-based disasters
Climate change 
Disaster Risk Reduction and Management (DRRM)
Structural and non-structural mitigation measures ",,,,,
E2-0080AC,,,,,,,,"Philippine Agriculture 2020 : a strategy for poverty reduction, food security, competitiveness, sustainability and justice and peace 

National Academy of Science and Technology, Philippines ",,Agriculture--Philippines ,,,,,
E2-0081AC,,,,,,,,"Philippine progress on MDGS : an update

by Mercedes B. Concepcion, PhD
Published by the National Academy of Science and Technology, Philippines",,Millennium Development Goals (MDGs)--Philippines ,,,,,
E2-0082AC,,,,,,,,"Addressing climate change through science 

by Rodel D. Lasco
Published by the National Academy of Science and Technology, Philippines
NAST Bulletin No. 3, 2012 ",,"Climate change 
Climate change mitigation",,,,,
E2-0083AC,,,,,,,,"Purification and quality of drinking water : issues and concerns 

by Ernesto J. del Rosario, Ph.D. 
NAST Bulletin 4
Published by the National Academy of Science and Technology Philippines ",,"Water quality
Water quality standards ",,,,,
E2-0084AC,,,,,,,,"Building better engineers for a better Philippines and a better world

UP Engineering Research and Development Foundation, Inc. 
Annual Report 2015 ",,"Faculty Development
Student Support
Focused Research
Coursework
Facilities 
Personal involvement",,,,,
E2-0085AC,5,,,,,,,"Corporate partnerships establish an asynchronous learning initiative with the University of the Philippines, College of Engineering 

by Cristina Saquilayan, Joselito Tulao, Maria Teresa Benitez; Tomas Hall, Randal P. Jensen; Norbert S. Que","In this paper, we describe the corporate/university partnership to address critical business challenges by leveraging the content and resources available through a university and using a delivery methodology of asynchronous distance learning. ","Distance Learning
Asynchronous Distance Learning
Distributed Graduate Instruction
DIGRI",,,,,
E2-0086AC,,,,,,,List of H. Adorna Publications,"Richelle Ann B. Juayong, Henry N. Adorna : Relating the Languages of Transition P Systems and Evolution-Communication P Systems with Energy. BIC-TA 2014 : 211-215

Jeanelle E. Abanto, Charmailene C. Reyes, Jasmine A. Malinao, Henry N. Adorna : Traffic incident detection and modelling using Quantum Frequency Algorithm and AutoRegressive Integrated Moving Average Models. IISA 2013 : 1-6

Nestine Hope S. Hernandez, Richelle Ann B. Juayong, Henry N. Adorna : On Communication Complexity of Some Hard Problems in ECPe Systems. Int. Conf. on Membrane Computing 2013 : 206-224.

Richelle Ann. B. Juayong, Nestine Hope S. Hernandez, Francis George Cabarle, Henry N. Adorna : Relating Transition P Systems and Spiking Neural P Systems - (Extended Abstract). UCNC 2013 : 259-260.

Jasmine A. Malinao, Richelle Ann B. Juayong, Rona May U. Tadlas, Jhoirene B. Clemente, Erlo Robert F. Oloquendo, John Boaz Lee, Ma. Sheilah Gaabucayan-Napalang, Jose Regin F. Regidor, Henry N. Adorna : A Quantitative Analysis-based Algorithm for Optimal Data Signature Construction of Traffic Data Sets. JIP 20 (3) : 592-598 (2012)

Junnel C. Villena, Jasmine A. Malinao, Henry N. Adorna : Data Signature-Based Multiyear Analysis of BLK-NB 6-Minute Interval Datasets of 2006 to 2009. ACIS-ICIS 2012 : 259-266.

John Boaz Lee, Henry Adorna : Link Prediction in a Modified Heterogeneous Bibliographic Network. ASONAM 2012 : 442-449.

Francis George Cabarle, Henry N. Adorna : On Structures and Behaviors of Spiking Neural P Systems and Petri Nets. Int. Conf. on Membrane Computing 2012 : 145-160

Francis George Cabarle, Kelvin C. Buño, Henry N. Adorna : Time after time : Notes on Delays in Spiking Neural P Systems. CoRR abs/1210.6119 (2012)

Francis George Cabarle, Kelvin C. Buño, Henry N. Adorna : On The Delays in Spiking Neural P Systems. CoRR abs/1212/2529 (2012)

Francis George Cabarle, Henry Adorna, Miguel A. Martinez-del-Amor : Simulating Spiking Neural P Systems Without Delays Using GPUs. IJNCR 2(2) : 19-31 (2011)

Francis George Cabarle, Henry Adorna, Miguel A. Martinez del-Amor : An Improved GPU SImulator for Spiking Neural P Systems. BIC-TA 2011 :262-267

Reynaldo G. Maravilla, Jr., Elise A. Tabanda, Jasmine A. Malinao, Henry N. Adorna : Data Signature-Based Time Series Traffic Analysis on Coarse-Grained NLEX Density Data Set. FGIT-FGCN (2) 2011 : 208-219

Francis George Cabarle, Henry Adorna, Miguel A. Martinez del Amor, Mario J. Perez-Jimenez : Spiking Neural P System Simulations on a High Performance GPU Platform. ICA3PP (2) 2011-99-108

Francis George Cabarle, Henry Adorna, Miguel A. Martinez del Amor : A Spiking Neural P System SImulator Based on CUDA. Int. Conf. on Membrane Computing 2011 : 87-103.

Francis George Cabarle, Henry Adorna, Miguel A. Martinez del Amor : Simulating Spiking Neural P systems without delays using GPUs. CoRR abs/1104.1824 (2011)

Xiangxiang Zeng, Henry Adorna, Miguel A. Martinez del Amor, Linqiang Pan, Mario J. Perez-Jimenez : Matrix Representation of Spiking Neural Systems. Int. Conf. on Membrane Computing 2010 : 377-391

Henry N. Adorna : 3-Party Message Complexity is Better than 2-Party Ones for Proving Lower Bounds on the Size of Minimal Nondeterministic Finite Automata. Journal of Automata, Languages and Combinatorics 7 (4) : 419-432 (2002)

Henry N. Adorna : On the Separation between k-Party and (k-1)- Party Nondeterministic Message Complexities. Developments in Language Theory 2002 : 152-161

Henry N. Adorna : 3 - Party Message Complexity is Better than 2-Party Ones for Proving Lower Bounds on the SIze of Minimal Nondeterministic Finite Automata. DCFS 2001 : 23-34",,,,,,,
E2-0087AC,,,,,,,Newspaper clippings,"Ronda, Rainier Allan. (2016, April 28). Diwata now in orbit. IN Science and Environment. Philippine Star, B-5 ",,Diwata ,,,,,
E2-0088AC,,,,,,,Newspaper clipping,"(2015, April). UP and Nokia open world-class learning facility. U.P. News, 36 (4-5), 12",,"Nokia Philippines
University of the Philippines ",,,,,
E2-0089AC,,,,,,,Newspaper clipping,"Mangunay, Kristine Felisse. (2016, October 15). UP sweeps geodetic engineering exams. Philippine Daily Inquirer, A-6",,Geodetic engineering exams--University of the Philippines ,,,,,
E2-0090AC,,,,,,,Newspaper clipping,"Sy, Steven. (2017, October 21). Cycling for sustainable living. Philippine Daily Inquirer, C-2",,"Lee, Shawn",,,,,
E2-0091AC,,,,,,,Newspaper clipping,"(2017, February 11). 1st Shell Eco-marathon PH awards energy-efficient teams. Roadtalk. Philippine Daily Inquirer, B4-3. ",,,,,,,
E2-0092AC,,,,,,,Newspaper clipping,"(2018, February 13). Emerging local talents attend e-commerce workshop. IN Campus. Philippine Star, 7",,"Lim, Renzo",,,,,
E2-0093AC,,,,,,,Newspaper clipping,"Agoncillo, Jodee A. (2016, October 15). A cafe where you can sleep, shower : diligence care, or d-caf, is for people driven to excel. Philippine Daily Inquirer, F-1 and F4.",,"Cuevas, Elmerei ",,,,,
E2-0094AC,,,,,,,Newspaper clipping,"(2017, September 7). In loving memory, Engr. David M. Consunji. Philippine Star, B-10",,"Consunji, David M. ",,,,,
E2-0095AC,,,,,,,Newspaper clipping,"Lontoc, Jo Florendo B. (2007, August). New lib intended to become resource center for IT, CS, EEE. U.P. Newsletter, 5 ",,"Esposo, Sharon Maria 
College of Engineering Library II",,,,,
